Report_Name,Journal Requests (Excluding OA_Gold),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report_ID,TR_J1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institution_Name,Wesleyan University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institution_ID,rsc:3348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metric_Types,Total_Item_Requests; Unique_Item_Requests,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report_Filters,Data_Type=Journal; Access_Type=Controlled; Access_Method=Regular,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Report_Attributes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exceptions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reporting_Period,Begin_Date=2020-07-01; End_Date=2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Created,2022-11-18T21:28:16Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Created_By,MPS for RSC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Title,Publisher,Publisher_ID,Platform,DOI,Proprietary_ID,Print_ISSN,Online_ISSN,URI,Metric_Type,Reporting_Period_Total,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22
Chemical Science,Royal Society of Chemistry,,pubs.rsc.org,10.1039/20416539/2010,rsc:SC,2041-6520,2041-6539,https://www.rsc.org/publishing/journals/sc/Index.asp,Total_Item_Requests,27,0,0,0,0,1,3,2,0,1,3,2,0,2,0,1,0,3,2,1,1,0,1,2,2
Chemical Science,Royal Society of Chemistry,,pubs.rsc.org,10.1039/20416539/2010,rsc:SC,2041-6520,2041-6539,https://www.rsc.org/publishing/journals/sc/Index.asp,Unique_Item_Requests,20,0,0,0,0,1,2,1,0,1,2,2,0,1,0,1,0,2,1,1,1,0,1,2,1
Chemical Society Reviews,Royal Society of Chemistry,,pubs.rsc.org,10.1039/14604744/1972,rsc:CS,0306-0012,1460-4744,https://www.rsc.org/Publishing/Journals/CS/Index.asp,Total_Item_Requests,382,10,0,15,19,30,14,5,5,18,22,13,6,15,7,4,10,38,25,6,11,5,15,88,1
Chemical Society Reviews,Royal Society of Chemistry,,pubs.rsc.org,10.1039/14604744/1972,rsc:CS,0306-0012,1460-4744,https://www.rsc.org/Publishing/Journals/CS/Index.asp,Unique_Item_Requests,257,8,0,12,14,22,10,5,4,14,14,11,4,9,4,4,8,20,15,3,7,4,9,55,1
Chemistry Education Research and Practice,Royal Society of Chemistry,,pubs.rsc.org,10.1039/17561108/2005,rsc:RP,1109-4028,1756-1108,https://www.rsc.org/Publishing/Journals/rp/index.asp,Total_Item_Requests,27,6,1,2,1,0,0,2,0,0,2,0,9,0,0,0,0,3,0,0,0,1,0,0,0
Chemistry Education Research and Practice,Royal Society of Chemistry,,pubs.rsc.org,10.1039/17561108/2005,rsc:RP,1109-4028,1756-1108,https://www.rsc.org/Publishing/Journals/rp/index.asp,Unique_Item_Requests,16,4,1,1,1,0,0,1,0,0,2,0,4,0,0,0,0,1,0,0,0,1,0,0,0
CrystEngComm,Royal Society of Chemistry,,pubs.rsc.org,10.1039/14668033/1999,rsc:CE,,1466-8033,https://www.rsc.org/Publishing/Journals/CE/Index.asp,Total_Item_Requests,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7,0,2,0,0
CrystEngComm,Royal Society of Chemistry,,pubs.rsc.org,10.1039/14668033/1999,rsc:CE,,1466-8033,https://www.rsc.org/Publishing/Journals/CE/Index.asp,Unique_Item_Requests,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,0,2,0,0
Dalton Transactions,Royal Society of Chemistry,,pubs.rsc.org,10.1039/14779234/2003,rsc:DT,1477-9226,1477-9234,https://www.rsc.org/Publishing/Journals/dt/index.asp,Total_Item_Requests,290,20,13,14,20,12,6,10,17,43,15,11,8,5,0,4,4,9,19,15,3,13,18,1,10
Dalton Transactions,Royal Society of Chemistry,,pubs.rsc.org,10.1039/14779234/2003,rsc:DT,1477-9226,1477-9234,https://www.rsc.org/Publishing/Journals/dt/index.asp,Unique_Item_Requests,207,12,8,11,13,9,6,9,15,20,12,10,6,5,0,3,4,6,15,8,3,11,12,1,8
